Headlines,Summary,Time
"BBA may also file contempt plea against law minister, ex-AG
","Balochistan Bar Association president says Anwar Mansoor Khan’s statement exposed the conspiracy against the judiciary.
",2020-03-01
"Rashid asked to resign over train accidents
","ISLAMABAD: Angry over Railways Minister Sheikh Rashid Ahmed’s controversial remarks about former prime minister...
",2020-03-01
"Army has major role in advancing democratic process, says Rashid
","Provincial govts are responsible for manning unmanned railway crossings, claims railways minister.
",2020-03-01
"WB to give $36m for improving health, education services
","ISLAMABAD: The World Bank will provide $36 million to Balochistan to help improve the quality of health and ...
",2020-03-01
"Former army chief’s brother rejects NAB charges
","Last year an accountability court declared Kamran Kayani a proclaimed offender in the DHA City land scam. 
",2020-03-01
"US needs Pakistan’s help for Doha deal’s implementation, say officials
","WASHINGTON: The United States will need Pakistan’s “continued support and effort” to implement the Afghan ...
",2020-03-01
"APNS slams denial of govt ads to Dawn, Jang groups
","Urges federal and provincial governments to immediately review their policy.
",2020-03-01
"Govt determined to end poverty, says NA deputy speaker
","DERA MURAD JAMALI: Deputy Speaker of the National Assembly Qasim Khan Suri has said that the Pakistan ...
",2020-03-01
"Ogra lowers LPG price
","LAHORE: Keeping in view the cut in the prices of the Liquefied Petroleum Gas internationally, the Oil and Gas...
",2020-03-02
"50,000 to get scholarships under Ehsaas programme
","PM to launch scheme for undergraduates today.
",2020-03-02
"Planning Commission fails to utilise WB’s $5m technical aid
","The assistance is now expected to be allocated to the Naya Pakistan Housing Programme.
",2020-03-02
"PPP seeks protection for women’s march
","Says it will participate in Women’s Day events; Farhatullah Babar says party is committed to upholding women's rights.
",2020-03-02
"PML-N accuses govt of pursuing ‘anti-state’ policies
","Ahsan Iqbal says Prime Minister Imran Khan has destroyed the economy.
",2020-03-02
"KP police ask Fazlur Rehman to curb activities over security fears
","The police advise the JUI-F chief to keep all his functions, plans, programmes and movements secret.
",2020-03-02
"Rights groups to boycott talks with govt over online rules
","Object to selection of committee members; call for withdrawal of rules approved by cabinet.
",2020-03-02
"Polish team calls off Karakoram expedition
","The climbers along with 40 local porters will start descending from the base camp today.
",2020-03-02
"Balochistan hospitals to buy medicines from market
","QUETTA: The Balochistan cabinet has authorised district and divisional hospitals to directly purchase equipment and...
",2020-03-02
"PTM welcomes Afghan peace deal
","Manzoor Pashteen expresses the hope that it will prove to be durable.
",2020-03-02
"China to help Balochistan fight locust threat
","QUETTA: Chinese Consul General in Karachi Li Bijian has said that China will help the Balochistan government deal...
",2020-03-02
"Coach-truck collision leaves three dead
","KHUZDAR: Three people lost their lives and 10 others suffered injuries when a coach collided with a truck on the...
",2020-03-02
"PTI leader opens gas supply to village
","TAXILA: Special Assistant to the PM on Overseas Pakistanis and Human Resource Development Zulfi Bukhari on Sunday...
",2020-03-02
"Man, woman shot dead
","DERA MURAD JAMALI: A woman and a man were gunned down in the name of honour in Goth Qaim Din in Magsi Shakh area of...
",2020-03-02
"Amanullah hospitalised
","LAHORE: Veteran comedian and stage actor Amanullah has again been admitted to a private hospital after his health...
",2020-03-03
"Government roasted over 106pc hike in petroleum levy
","While Shahbaz issues condemnation, Sherry says the govt has given another jolt to the poor.
",2020-03-03
"Sindh IG  takes charge, vows to  build bridges
","After taking charge, the new Sindh IG called on Chief Minister Syed Murad Ali Shah at CM House.
",2020-03-03
"SC bench refers appeals against PHC acquittals to CJ
","The court was seized with over 70 appeals moved by the defence ministry against a PHC judgement.
",2020-03-03
"PM seeks restructuring plan for Pakistan Railways
","Expresses concern over loss of lives in train accidents, directs railways minister to take steps for safety of people.
",2020-03-03
