Headlines,Summary,Time
Killing sparks fear in Karachi,"KARACHI, Dec 31: Fear gripped parts of Abbas Town and neighborhoods along the Abul Hasan Isphahani Road on Saturday night following a shootout and an act of arson after a member of the Pasban-i-Jafria (PJ) 
    ",01/01/2012
Rockets fired,"QUETTA, Dec 31: Three rockets fired from an unknown location landed in different localities in the provincial capital on Saturday, police said.—Staff Correspondent 
    ",01/01/2012
2 'terrorists' arrested,"TAXILA, Dec 31: Taxila police on Saturday arrested two alleged terrorists and recovered heavy cache of arms from their possession. 
    ",01/01/2012
Girls school blown up in Peshawar,"PESHAWAR, Dec 31: Suspected militants blew up a state-run high school for girls at Badhber on the suburbs of provincial metropolis on Friday night, police said. 
    ",01/01/2012
12 trucks torched in Khyber,"LANDI KOTAL, Dec 31: Unidentified armed men put on fire at least 12 trucks, loaded with smuggled foreign goods, and abducted three drivers from Jabba area of Jamrud tehsil in Khyber Agency on Friday. 
    ",01/01/2012
CM orders withdrawal of case against protesters,"MIANWALI, Dec 31: Chief Minister Shahbaz Sharif has directed the authorities to withdraw a terrorism case against 93 nominated and 6,000 unidentified people who clashed with police during a protest against 
    ",01/01/2012
Police raid leads to mob rule,"FAISALABAD, Dec 31: The killing of a suspect by a Sargodha police raiding team excited choler of the public which torched a police post and threw traffic out of gear on Faisalabad-Jaranwala Road on Saturday. 
    ",01/01/2012
Three of a family killed in roof collapse,"JHANG, Dec 31: Three family members were killed and two labourers sustained serious injuries when the under-construction roof of a room collapsed on them in Bag Town, some 10kms from here, on Saturday. 
    ",01/01/2012
"Man killed, another injured","ISLAMABAD, Jan 1: A man was killed while another was injured in separate incidents here on Sunday. 
    ",02/01/2012
Iranian guards charged with murder,"QUETTA, Jan 3: Police on Tuesday charged three Iranian border guards with the murder of a Pakistani man shot dead on Sunday in a cross-border attack in the country`s southwest 
    ",03/01/2012
Three killed in Khyber car blast,"LANDI KOTAL, Jan 3: Three persons including two Levies personnel were killed and eight civilians were injured when a powerful car bomb exploded in Landi Kotal Bazaar of Khyber Agency on Tuesday 
    ",03/01/2012
Local JUI-F leader shot dead in Lakki,"LAKKI MARWAT, Jan 2: A local JUI-F leader and former nazim Haji Mohammad Azeem Khan was killed and his driver was seriously wounded when unidentified gunmen attacked his pickup near Naverkhel on Begukhel 
    ",03/01/2012
Islamabad saw four terror attacks last year,"ISLAMABAD, Jan 4: Capital city saw four terrorist attacks in 2011 in which four persons were killed, including two high profile, and the same number of people injured, according to Security Report 2011 of 
    ",04/01/2012
Police officer gunned down in Quetta,"QUETTA, Jan 5: A police officer was shot dead while a man was killed and two others were injured in a landmine blast in two separate incidents in Balochistan on Thursday 
    ",05/01/2012
