Summary,Time,label
"ISLAMABAD, Dec 31: A consortium of Pakistani banks has sanctioned a Rs6.1 billion loan to repair 96 railways’ locomotives, official sources told Dawn on Saturday. 
    ",01/01/2012,other
"KARACHI, Dec 31: The Democrats Panel swept the Karachi Press Club elections for 2012 on Saturday, according to the results announced by the election commission. 
    ",01/01/2012,other
"KARACHI, Dec 31: Fear gripped parts of Abbas Town and neighborhoods along the Abul Hasan Isphahani Road on Saturday night following a shootout and an act of arson after a member of the Pasban-i-Jafria (PJ) 
    ",01/01/2012,crime
"QUETTA, Dec 31: The Balochistan High Court (BHC) decided 4,163 cases in the judicial year 2011 and 4,599 cases are pending before it, said a statement issued by the court registrar on Saturday. 
    ",01/01/2012,other
"QUETTA, Dec 31: Three rockets fired from an unknown location landed in different localities in the provincial capital on Saturday, police said.—Staff Correspondent 
    ",01/01/2012,crime
"QUETTA, Dec 31: The death toll from Friday’s car bomb attack in the city rose to 16 on Saturday, sources said. 
    ",01/01/2012,crime
"KARACHI, Dec 31: Suspecting that a favour to the tune of over Rs6 billion has been extended to a company in the award of a contract by the Capital Development Authority, the Transparency International Pakistan (TIP) has called for an inquiry into the matt 
    ",01/01/2012,other
"RAWALPINDI, Dec 31: Public transporters here on Saturday announced their decision to go on a complete wheel-jam strike for an indefinite period from Monday against the government’s recent decisions affecting the CNG sector. 
    ",01/01/2012,other
"ISLAMABAD, Dec 31: Many eyebrows raised at the haste Economic Affairs Division (EAD) showed in hiring staff for a United Nations project in August this year, it has surfaced recently. 
    ",01/01/2012,other
"MUZAFFARABAD, Dec 31: Around three dozen businessmen engaged in intra-Kashmir trade went on a hunger strike on Saturday against what they alleged bullying and intimidation by the customs officials. 
    ",01/01/2012,other
"RAWALPINDI, Dec 31: Despite having enough funds in their kitties, the Rawal Town Municipal Administration (RTMA) and Potohar Town Municipal Administration (PTMA) have failed to launch uplift schemes though six 
    ",01/01/2012,other
"RAWALPINDI, Dec 31: The Pakistan Railways, Rawalpindi Division, has purchased 70,000 litres of diesel from the open market to run its trains on time 
    ",01/01/2012,other
"TAXILA, Dec 31: Taxila police on Saturday arrested two alleged terrorists and recovered heavy cache of arms from their possession. 
    ",01/01/2012,crime
"ISLAMABAD, Dec 31: No government department holds itself responsible for maintaining and overseeing the quality of CNG fittings in public transport vehicles while top government managers even 
    ",01/01/2012,other
"ISLAMABAD, Dec 31: The Capital Development Authority (CDA) has planned to arrange anti-litter camps to raise awareness among the residents of katchi abadis to ensure cleanliness in the federal capital next month 
    ",01/01/2012,other
"PESHAWAR, Dec 31: The provincial elementary and secondary education (E&SE) department has expressed displeasure over supply of ‘substandard’ goods to government schools in Malakand division and asked United 
    ",01/01/2012,other
"PESHAWAR, Dec 31: Suspected militants blew up a state-run high school for girls at Badhber on the suburbs of provincial metropolis on Friday night, police said. 
    ",01/01/2012,crime
"PESHAWAR, Dec 31: The Expanded Programme on Immunisation (EPI) has noted drop in polio cases from 98 in 2010 to 73 in 2011 in Khyber Pakhtunkhwa and Federally Administered Tribal Areas 
    ",01/01/2012,other
"LANDI KOTAL, Dec 31: Unidentified armed men put on fire at least 12 trucks, loaded with smuggled foreign goods, and abducted three drivers from Jabba area of Jamrud tehsil in Khyber Agency on Friday. 
    ",01/01/2012,crime
"MIANWALI, Dec 31: Chief Minister Shahbaz Sharif has directed the authorities to withdraw a terrorism case against 93 nominated and 6,000 unidentified people who clashed with police during a protest against 
    ",01/01/2012,crime
"TOBA TEK SINGH, Dec 31: Executive District Officer (Education) Syed Toqueer Hussain on Saturday suspended from service 55 headmasters and headmistresses of government schools for failing to deliver. 
    ",01/01/2012,other
"FAISALABAD, Dec 31: The killing of a suspect by a Sargodha police raiding team excited choler of the public which torched a police post and threw traffic out of gear on Faisalabad-Jaranwala Road on Saturday. 
    ",01/01/2012,crime
"JHANG, Dec 31: Three family members were killed and two labourers sustained serious injuries when the under-construction roof of a room collapsed on them in Bag Town, some 10kms from here, on Saturday. 
    ",01/01/2012,crime
"MULTAN, Dec 31: The annual 772nd Urs of Hazrat Bahauddin Zakariya Suhrwardi began here on Saturday. 
    ",01/01/2012,other
"FAISALABAD, Dec 31: Pakistan Textile Exporters Association (PTEA) chairman Rana Arif Tauseef has claimed that his younger brother and state minister for privatisation Rana Asif Tauseef along with a group 
    ",01/01/2012,other
"FAISALABAD, Dec 31: Huda Zahid topped in the world in Chemistry in the Cambridge O Level Examinations of May/June 2011. 
    ",01/01/2012,other
"OKARA, Dec 31: Placating angry and dejected party workers, PPP leader Syed Khurshid Shah, who is also Federal Minister for Religious Affairs, says the bureaucracy is a hurdle in accomplishing projects 
    ",01/01/2012,other
"MULTAN, Dec 31: Prime Minister Yousuf Raza Gilani said on Saturday that NA-148 (a seat vacated by Shah Mehmood Qureshi) was the trust of Benazir Bhutto. 
    ",01/01/2012,other
"KARACHI, Jan 2: Warning about `difficult times` ahead because of paucity of gas in the system to meet the phenomenal increase in winter demand, the Minister for Petroleum and Natural Resources, Dr Asim 
    ",02/01/2012,other
"ISLAMABAD, Jan 2: Echoes of a controversy triggered by the Supreme Court order on admissibility of petitions relating to the memo issue were heard at a ceremony held at the Supreme Court on Monday to 
    ",02/01/2012,other
"ISLAMABAD, Jan 2: Government servants lead the categories of persons against whom investigations are pending with the National Accountability Bureau (NAB) 
    ",02/01/2012,other
"ISLAMABAD, Jan 2: The Sui Northern Gas Pipelines Limited and Sui Southern Gas Company Limited are causing a cumulative annual loss of about Rs300 billion to national economy, almost six times the losses 
    ",02/01/2012,other
"ISLAMABAD, Jan 2: Already on one year extension, Iftikharullah Babar, a BS-22 officer, on Monday assumed the charge of Senate secretary, although he had retired after attaining the age of superannuation last year, 
    ",02/01/2012,other
"PESHAWAR, Jan 2: A violent protest by rickshaw drivers against a traffic plan that restricts their movement in the city turned the Grand Trunk Road into a battlefield as they came in clash with the police here on Monday 
    ",02/01/2012,other
"ISLAMABAD, Jan 1: Over a dozen housing societies, including the military-run Defence Housing Authority (DHA), are in trouble with the Pakistan Environment Protection Agency (Pak-EPA) for brazenly violating the 
    ",02/01/2012,other
"RAWALPINDI, Jan 1: Pakistan Railways (PR) is planning to relaunch its freight service from Rawalpindi to Lahore to facilitate transportation of cement for India, it has been learnt. 
    ",02/01/2012,other
"PESHAWAR, Jan 1: A jirga sponsored by Awami National Party has demanded integration of Federally Administered Tribal Areas with Khyber Pakhtunkhwa and abolition of Actions (in Aid of Civil Power) Regulation 2011. 
    ",02/01/2012,other
"ISLAMABAD, Jan 1: The country’s top tax office announced on Sunday that revenue collection had registered a significant growth of 27.05 per cent in the first half of the current fiscal year over the corresponding period last year. 
    ",02/01/2012,other
"ISLAMABAD, Jan 1: Pakistan has decided to challenge in the international court of arbitration a decision of the UN Framework Convention on Climate Change (UNFCCC) to grant carbon credits to India on a controversial 
    ",02/01/2012,other
"The party will submit the `20th Constitution amendment bill` in parliament for the creation of Hazara and South Punjab provinces: Farooq Sattar 
    ",02/01/2012,other
"KARACHI, Jan 1: Jamaat-i-Islami chief Syed Munawwar Hasan has asked his party`s workers to get ready for elections as well as for a “revolution” that may take place before the polls, adding that changes 
    ",02/01/2012,other
"The US and its allies are facing an awkward situation in Afghanistan as they know they could not win the war there, said the JUI-F chief. 
    ",02/01/2012,other
"It is the responsibility of Speaker Dr Fehmida Mirza to take measures to immediately fill the important post, said NA secretariat officials. 
    ",02/01/2012,other
"UNITED NATIONS, Jan 1: Pakistan along with Azerbaijan, Guatemala, Morocco and Togo assumed seats on Sunday as new non-permanent members of the 15-nation UN Security Council. 
    ",02/01/2012,other
"ISLAMABAD, Jan 1: A call-attention notice by ruling coalition partner Muttahida Qaumi Movement on the issue of increase in gas prices may be seized by the opposition to intensify its attacks on the government’s handling 
    ",02/01/2012,other
"ISLAMABAD, Jan 1: Motorists and commuters braced for the worst as compressed natural gas dealers in the twin cities of Rawalpindi and Islamabad went on an indefinite strike at the end of the three-day weekly closure 
    ",02/01/2012,other
"RAWALPINDI, Jan 1: Former federal minister Babar Awan on Sunday lashed out at Pakistan Muslim League-Nawaz (PML-N) chief Nawaz Sharif, claiming that he was bent on instigating clash among state institutions. 
    ",02/01/2012,other
"ISLAMABAD, Jan 1: A man was killed while another was injured in separate incidents here on Sunday. 
    ",02/01/2012,crime
"ISLAMABAD, Jan 1: In an effort to resolve differences within the party`s Rawalpindi chapter, president Pakistan Muslim League-N Nawaz Sharif on Sunday through a notification dissolved all chapters 
    ",02/01/2012,other
"KOHAT, Jan 1: The blockade of route used for transportation of oil from Shakardarra oilfields here continued on the second day on Sunday as the residents refused to end strike till provision of natural gas to their area. 
    ",02/01/2012,other
"SKARDU, Jan 1: Severe cold wave has gripped the entire Gilgit-Baltistan region especially during night times following snowfall in the mountainous areas. 
    ",02/01/2012,other
"PESHAWAR, Jan 1: The Khyber Pakhtunkhwa government has decided to introduce online system for the treatment of patients suffering from hepatitis. 
    ",02/01/2012,other
"PESHAWAR, Jan 1: Thousands of farmers in Khyber Pakhtunkhwa`s southern parts, dependent on perennial floodwater-based Rod Kohi irrigation system, are set to record low income this Rabi crop season, experts say. 
    ",02/01/2012,other
"QUETTA, Jan 1: Speakers at a civil society meeting here on Sunday vowed to launch a campaign against the use of children as soldiers, particularly as suicide bombers, by extremist groups. 
    ",02/01/2012,other
"QUETTA, Jan 1: At least 10 people were injured in a grenade attack on a shop on Joint Road here on Sunday. 
    ",02/01/2012,crime
