Headlines,Summary,Time
Loan sanctioned for locomotive repair,"ISLAMABAD, Dec 31: A consortium of Pakistani banks has sanctioned a Rs6.1 billion loan to repair 96 railways’ locomotives, official sources told Dawn on Saturday. 
    ",01/01/2012
"Tahir, Moosa elected KPC president, secretary","KARACHI, Dec 31: The Democrats Panel swept the Karachi Press Club elections for 2012 on Saturday, according to the results announced by the election commission. 
    ",01/01/2012
Killing sparks fear in Karachi,"KARACHI, Dec 31: Fear gripped parts of Abbas Town and neighborhoods along the Abul Hasan Isphahani Road on Saturday night following a shootout and an act of arson after a member of the Pasban-i-Jafria (PJ) 
    ",01/01/2012
"4,163 cases decided","QUETTA, Dec 31: The Balochistan High Court (BHC) decided 4,163 cases in the judicial year 2011 and 4,599 cases are pending before it, said a statement issued by the court registrar on Saturday. 
    ",01/01/2012
Rockets fired,"QUETTA, Dec 31: Three rockets fired from an unknown location landed in different localities in the provincial capital on Saturday, police said.—Staff Correspondent 
    ",01/01/2012
Quetta blast toll rises to 16,"QUETTA, Dec 31: The death toll from Friday’s car bomb attack in the city rose to 16 on Saturday, sources said. 
    ",01/01/2012
Inquiry urged into CDA contract,"KARACHI, Dec 31: Suspecting that a favour to the tune of over Rs6 billion has been extended to a company in the award of a contract by the Capital Development Authority, the Transparency International Pakistan (TIP) has called for an inquiry into the matt 
    ",01/01/2012
It’s transporters turn: Wheeljam from tomorrow,"RAWALPINDI, Dec 31: Public transporters here on Saturday announced their decision to go on a complete wheel-jam strike for an indefinite period from Monday against the government’s recent decisions affecting the CNG sector. 
    ",01/01/2012
Hiring staff posthaste raises many eyebrows,"ISLAMABAD, Dec 31: Many eyebrows raised at the haste Economic Affairs Division (EAD) showed in hiring staff for a United Nations project in August this year, it has surfaced recently. 
    ",01/01/2012
Intra-Kashmir traders go on hunger strike,"MUZAFFARABAD, Dec 31: Around three dozen businessmen engaged in intra-Kashmir trade went on a hunger strike on Saturday against what they alleged bullying and intimidation by the customs officials. 
    ",01/01/2012
Development on the backburner,"RAWALPINDI, Dec 31: Despite having enough funds in their kitties, the Rawal Town Municipal Administration (RTMA) and Potohar Town Municipal Administration (PTMA) have failed to launch uplift schemes though six 
    ",01/01/2012
Railway buys diesel from open market,"RAWALPINDI, Dec 31: The Pakistan Railways, Rawalpindi Division, has purchased 70,000 litres of diesel from the open market to run its trains on time 
    ",01/01/2012
2 'terrorists' arrested,"TAXILA, Dec 31: Taxila police on Saturday arrested two alleged terrorists and recovered heavy cache of arms from their possession. 
    ",01/01/2012
Commuters worst sufferers of govt decisions,"ISLAMABAD, Dec 31: No government department holds itself responsible for maintaining and overseeing the quality of CNG fittings in public transport vehicles while top government managers even 
    ",01/01/2012
Anti-litter awareness camps in katchi abadis,"ISLAMABAD, Dec 31: The Capital Development Authority (CDA) has planned to arrange anti-litter camps to raise awareness among the residents of katchi abadis to ensure cleanliness in the federal capital next month 
    ",01/01/2012
KP education dept complains to Unicef over ‘shoddy goods’,"PESHAWAR, Dec 31: The provincial elementary and secondary education (E&SE) department has expressed displeasure over supply of ‘substandard’ goods to government schools in Malakand division and asked United 
    ",01/01/2012
Girls school blown up in Peshawar,"PESHAWAR, Dec 31: Suspected militants blew up a state-run high school for girls at Badhber on the suburbs of provincial metropolis on Friday night, police said. 
    ",01/01/2012
